title,description,impact,source
Flood fears as Storm Bert heads into second day,Scotland is bracing for a second day of disruption with high winds and localised flooding forecast.,3,bbc
Storm Bert brings landslide and 82mph gusts,"Ten people were rescued after a landslide near Llangollen, Denbighshire, on Saturday afternoon.",3,bbc
India maintain dominant position over Australia,India's openers ensure they maintain their dominant position against Australia with an unbroken century stand on day two of the first Test in Perth.,1,
Blackburn v Portsmouth among games hit by Storm Bert,"Storm Bert affects Saturday's fixture lists in the EFL and National League, with several postponements following pitch inspections.",2,
Multi-hazard' Storm Bert causing disruption across UK,"High winds and snow are affecting road and rail travel, while heavy rain brings the potential for flooding.",3,manual
"Bitcoin smashes record-high, lifting value of crypto market past pandemic-era peak",,3,manual
"Death toll from South Korea Halloween crush rises to 153, including 22 foreigners",,3,manual
Malaysia Airlines loses contact with plane carrying 239 people,,3,manual
Hamas confirms leader Yahya Sinwar killed in combat in Gaza by Israeli army,,3,manual
Donald Trump wins 2024 US election in historic comeback,,3,manual
"Car crashes into crowd in China's Zhuhai, killing 35 and wounding 43",,3,manual
Wagner chief Yevgeny Prigozhin presumed dead after Russia plane crash,"Russian mercenary leader Yevgeny Prigozhin was on the passenger list of a jet which crashed in Russia killing all 10 people on board, Russia's civil aviation authority says.",3,manual
$3b money laundering case: $1.85b in assets surrendered by 15 suspects on the run,"The total amount of assets surrendered in the case is almost $2.8 billion so far, with $944 million in assets previously surrendered.",3,manual
K-drama actor Song Jae-rim dies at 39,"Song, who acted in blockbuster dramas including The Moon Embracing The Sun, was found dead at his home in Seoul.",2,manual
"Liam Payne, 31, Former One Direction Singer, Dies in Fall in Argentina",,3,manual
Stolen shoe mystery solved at Japanese kindergarten when security camera catches weasel in the act,,2,cna_latest
Rallying-Neuville secures his first world championship in Japan,,2,cna_latest
Scientists seek miracle pill to stop methane cow burps,,3,cna_latest
Verstappen takes his fourth F1 title in Las Vegas,,3,cna_latest
SM Lee Hsien Loong to visit China from Nov 24; set to meet President Xi Jinping,This is Mr Lee’s first visit to China since stepping down as Singapore prime minister in May and handing the leadership reins to Mr Lawrence Wong.,2,cna_latest
Erasmus satisfied with Springboks year as player pool grows,,1,cna_latest
Smylie holds off major winner Smith to claim Australian PGA title,,1,cna_latest
Fire rips through slum area in Philippine capital,,3,cna_latest
"PAP must adapt to evolving societal needs, while Singapore navigates 'far more dangerous world': PM Wong","Singapore will find it more difficult to make a living and keep itself safe with more global conflict and instability expected in the next decade, says the prime minister.",1,cna_latest
Singaporean director Chiang Wei Liang wins best new director at Golden Horse Awards 2024,Chiang's film Mongrel had received seven nominations.,1,cna_latest
Jaiswal lifts India to 275-1 at lunch on day three,,1,cna_latest
Storm Bert: Flood warnings in place after man dies,"Flood warnings and alerts are in place across the UK, as disruption from the storm continues.",3,bbc
"Body of missing rabbi found in UAE, Israel says","The Israeli-Moldovan national went missing on Thursday, sparking a Mossad investigation.",2,bbc
Can RFK Jr make America's diet healthy again?,Kennedy's plans to ban dyes in cereals and fluoride in water could get major pushback from the food industry.,1,bbc
'I'm the UK's number one Trump impersonator',Donald Trump impressionist Mike Osman is inspired to keep performing after the US election.,1,bbc
Verstappen wins title as Russell triumphs in Vegas,Red Bull’s Max Verstappen wins his fourth consecutive World Drivers’ Championship as George Russell takes race victory in the Las Vegas Grand Prix.,2,bbc
What being coached by Murray could do for Djokovic,BBC tennis correspondent Russell Fuller assesses what Novak Djokovic's shock appointment of Andy Murray as coach could mean for both men.,1,bbc
England's Cox out of New Zealand series with broken thumb,Wicketkeeper Jordan Cox is ruled out of England's series in New Zealand after suffering a broken thumb.,1,bbc
"'The second Special One' - Amorim, by those who know him best","From rejection at Benfica to new Manchester United boss, BBC Sport charts the rise of Ruben Amorim.",1,bbc
Shearer on his 'concerns' for Man City,"Match of the Day's Alan Shearer says Manchester City are showing ""worrying signs"" after losing 4-0 to Tottenham at home, their fifth loss in a row.",1,bbc
MPs back calls for pub bombings inquiry,"Sarah Edwards and Dr Neil Shastri-Hurst both say the victims and their families deserve ""closure"".",2,bbc
Northern Ireland is being left behind on assisted dying',"There are moves to bring assisted dying into law in England, Wales, Scotland and Ireland.",3,bbc
Flood warnings across Wales with more rain to come,More than 100 flood warnings and alerts issued with a new weather warning in place for more rain.,2,bbc
"US SEC issues summons for India's Adani, nephew on bribery allegations",,2,cna_latest
"Onus on PAP to resonate with voters and rally them to a cause, amid shifting political landscape: Analysts","With elections round the corner, the People's Action Party must also show how one-party dominance is still relevant today, according to an observer speaking after Singapore all but completed its leadership transition.",1,cna_latest
Verstappen wins fourth consecutive Formula 1 world title,,3,cna_latest
"Centurions Jaiswal, Kohli wear down Australia as India eye big win",,1,cna_latest
Your pictures on the theme of 'autumn walks',Photographs on the theme of 'autumn walks' sent in by our readers.,1,bbc
'I can't say what my face will do in two hours',"Amy Green, who has Bell's palsy, says seeing Tulisa on TV helps raise awareness of the condition.",1,bbc
Irish justice minister praises 'bravery' of woman in Conor McGregor rape case,"Justice Minister Helen McEntee said Nikita Hand had shown ""there is light at the end of the tunnel"".",2,bbc
Marta and Orlando Pride win first NWSL title,Brazil legend Marta celebrates the first NWSL championship of her glittering career after the Orlando Pride beat the Washington Spirit 1-0 on Saturday.,1,bbc
Homes and roads flooded as Storm Bert batters Wales,Homes and roads have been flooded as Storm Bert continues to batter the UK.,2,bbc
"Verstappen hails most impressive season, if not the best",,1,cna_latest
Australia forced into late change for Scotland clash,,1,cna_latest
Ukraine studies debris from new Russian ballistic missile,,1,cna_latest
Pant and Iyer shatter IPL pay record with eye-watering deals,,1,cna_latest
F1 drivers praise growth of Las Vegas Grand Prix,,1,cna_latest
Robertson renews call for change to All Blacks overseas-based players ban,,1,cna_latest
"Russia removes commander in Ukraine for misleading reports, war bloggers say",,3,cna_latest
'Nobody is unbeatable': Verstappen rivals believe they can dethrone the champ,,1,cna_latest
"Ukraine needs better air defences, Zelenskyy says after Russian drone attack",,2,cna_latest
Israel says rabbi killed in UAE in 'anti-Semitic' attack,,3,cna_latest
"Young people who refuse to work to lose benefits, says minister","Liz Kendall says young people will have a responsibility to take up new opportunities for ""earning or learning"".",2,bbc
"Assisted dying bill about right to choose, says minister",Labour’s cabinet remains divided on how to vote on Friday’s bill to legalise assisted dying.,1,bbc
South Korean man dodged draft by binge eating,"The 26-year-old man began deliberately gaining weight before a physical examination, a judge ruled.",2,bbc
Burning old TVs to survive: The toxic trade in electrical waste,People around the world are extracting valuable materials from e-waste despite huge health risks.,1,bbc
Dozens killed in Pakistan sectarian violence,More than 80 die in a tribal area of Pakistan riven by tensions between Shia and Sunni communities.,3,bbc
Man arrested over fatal shooting in Birmingham released,Police say a man who was arrested on suspicion of murder has been released without charge.,2,bbc
Champion Verstappen 'hungry' for more title success in 2025,"Max Verstappen says his fourth world title came after a ""very challenging"" season and he is ""hungry"" to bid for more success in 2025.",1,bbc
Pant becomes most expensive player in IPL history,Rishabh Pant becomes the most expensive player in the history of the Indian Premier League as he joins Lucknow Super Giants for 27 crore (£2.54m).,2,bbc
Man critical after stabbing on Westminster Bridge,A man is in a critical condition after being stabbed on Westminster Bridge on Sunday morning.,2,bbc
Fresh Storm Bert wind warning comes into force,A yellow wind warning comes into effect across Northern Ireland until 18:00 GMT on Sunday.,2,bbc
Lib Dems would vote down Budget that contains indyref cash,"Leader Alex Cole-Hamilton says the Scottish public ""are done with the constitution"" and spending must focus on other issues.",1,bbc
Search for dog walker feared missing in floods,A search is under way for a dog walker who police fear was swept away in a river during Storm Bert.,2,bbc
Lauren Laverne given 'all clear' following cancer diagnosis,"The BBC presenter, who revealed her diagnosis in August, said she would be returning to work on Tuesday.",1,bbc
Bangladesh protesters besiege key newspaper demanding closure,,2,cna_latest
Pacer Bhuvneshwar joins Bengaluru for $1.28 million in IPL auction,,2,cna_latest
"Volkswagen has taken major writedown on Northvolt stake, sources say",,2,cna_latest
Real's Vinicius out of Champions League clash at Liverpool with injury,,1,cna_latest
Analysis:Lilium's fall throws spotlight on air-taxi cash crunch,,1,cna_latest
Top NATO official calls on business leaders to prepare for 'wartime scenario',,2,cna_latest
Indonesia says Apple's $100 million investment proposal inadequate,,2,cna_latest
"Thai banking system has large excess liquidity, central bank says",,2,cna_latest
Hundreds of homeowners in England and Wales battle floodwaters after weekend storm,,3,cna_latest
Thai police seek Interpol warrant for tycoon over alleged scam,,3,cna_latest
"Salah casts doubt on Liverpool future, says more out than in",,1,cna_latest
AI analytics firm Pyramid Analytics secures $50 million from BlackRock,,2,cna_latest
Google's US antitrust trial over online ad empire draws to a close,,1,cna_latest
"Satellite images suggest North Korea expanding missile plant, researchers say",,2,cna_latest
Man loses suit against Singapore Kindness Movement for revealing his identity to woman he accused of transphobia,A district judge found that Mr Martin Piper should have expected his identity to be disclosed in the course of the Singapore Kindness Movement's investigation into his complaint.,1,cna_latest
Sri Lanka's central bank likely to resume rate cuts to foster growth: Reuters poll,,1,cna_latest
"Corning offers to waive exclusive deals in EU antitrust probe, may stave off fine",,1,cna_latest
UOL apologises after 'blackface' attendees at dinner and dance event spark backlash,"A TikTok video shows a group of eight attendees in blackface, dressed in black afro wigs, sunglasses and retro 1980s street-style costumes.",2,cna_latest
Olympic medallist Richardson banned from competing for Australia after allegiance switch,,2,cna_latest
Man injured after shipping containers fall on forklift at Pasir Panjang terminal,,2,cna_singapore
"Civil servants to receive 1.05 months year-end bonus, junior grade officers to get additional one-time payment","Taken together with the mid-year payments, civil servants will receive a total of 1.5 months in full-year AVC, with those in the more junior grades receiving total lump-sum payments of up to S$850 in 2024.",2,cna_singapore
"Man jailed for fatal collision with elderly pedestrian, judge says drivers go too fast in housing estates","While a video shown in court did not show the driver speeding, there was no honking or braking before he hit Mr Wong, the judge said.",2,cna_singapore
"‘Short-sighted and unwise’: SM Lee warns against writing off China, reaffirms Singapore’s continued confidence","China has shown that it can take a strategic perspective, riding through transient ups and downs, said the senior minister at an event in Suzhou to mark the 30th anniversary of the China-Singapore Suzhou Industrial Park (SIP).",1,cna_singapore
"Burst pipe in Clementi disrupts water supply to residents, businesses for 16 hours","PUB, which was alerted to the incident at about 1.30am on Monday (Nov 25), said water supply was fully restored at 5pm.",2,cna_singapore
Former Japanese kindergarten principal jailed for faking teachers' salaries to get employment passes,"The 66-year-old would deposit the full declared salaries into the bank accounts of teachers at Konohana Kindergarten, and receive a portion back in cash.",2,cna_singapore
"CNA launches in UK amid global expansion, now available in 110 million homes worldwide",Audiences in Britain can now catch the broadcaster’s award-winning news and current affairs programming on free ad-supported streaming television (FAST) platforms.,2,cna_singapore
"Singapore's core inflation falls to 2.1% in October, lowest level since December 2021",,2,cna_singapore
Wolbachia mosquito releases to reach half of Singapore households by 2026 to combat dengue,Singapore will be stepping up capacity at its two existing Wolbachia mosquito production facilities and establishing a third facility.,2,cna_singapore
Star Search 2024 winner Tiffany Ho gets a Mediacorp contract and a car,The 19-year-old student from Hong Kong beat out 11 other finalists in the three-hour showdown at The Theatre at Mediacorp.,2,cna_singapore
Work It Podcast: How to ace your next job interview,"Do a quick background check on your interviewers first to find common ground, that will help you make a stronger impression during the interview.",1,cna_singapore
"Told he could die in just months, this 27-year-old is 'more positive about life now'","In the first part of a trilogy on When Death Comes Knocking, CNA's Vanessa Lim meets cancer patient Afif Yusli, who fought back from being unable to speak and walk - only to be dealt what some might see as the worst hand of all.",1,cna_singapore
Tickets for Lions' ASEAN championship home matches to start from S$8 after outcry over prices,,1,cna_singapore
Japan to bring home WWII war dead from Bangladesh,,2,cna_asia
US drawing up contingency plans for Taiwan emergency: Kyodo,,2,cna_asia
Malaysia loses lawsuit over illegal seizure of Swatch rainbow-coloured Pride watches,"The Kuala Lumpur High Court has ordered the Home Ministry to return the 172 Swatch watches, worth US$14,545, within 14 days of Monday’s court ruling.",2,cna_asia
39 foreigners flee Myanmar scam centre: Thai police,,3,cna_asia
"South Korea's Yoon, Malaysia's Anwar agree to cooperate in defence, minerals",,2,cna_asia
Philippines' Marcos vows to fight back after estranged VP's assassination threat,,3,cna_asia
"Taiwan reports Chinese balloon, first time in six months",,2,cna_asia
South Korean man convicted of binge eating to avoid military service: Report,,2,cna_asia
New Zealand citizen poisoned by tainted alcohol in Laos returns home,Counterfeits of well-known alcohol brands and homemade spirits pose a significant problem in Laos.,2,cna_asia
"Commentary: After two years as Malaysia’s PM, it’s still hard figuring out who the real Anwar Ibrahim is","When Anwar Ibrahim was sworn in as Malaysia’s prime minister two years ago on Nov 24, many critics doubted he would last very long. He’s still here, but questions remain about who the real Anwar is, says Asian Studies professor James Chin.",1,cna_asia
Truce called after 82 killed in Pakistan sectarian clashes,,3,cna_asia
"India mosque survey sparks clashes, two dead",,2,cna_asia
Thai police probe monastery for using bodies in meditation,,2,cna_asia
UAE says suspects arrested in alleged killing of Israeli rabbi are from Uzbekistan,,2,cna_world
Maximum term of 20 years demanded in French rape trial for husband who drugged wife,,2,cna_world
Iraq's population reaches 45.4 million in first census in over 30 years,,3,cna_world
How significant is the US$300 billion COP29 climate deal for developing countries?,The final agreement requires developed countries to help poorer nations mitigate the impact of climate disasters through financing.,2,cna_world
"DHL cargo plane crashes as it nears Lithuania airport, killing one",,3,cna_world
'Existential challenge': Plastic pollution treaty talks begin,,1,cna_world
Can Duolingo really teach you a new language? Meet the woman behind the new AI features that make it better,"Megan Bednarczyk is a senior design manager at Duolingo, who together with the language-learning platform’s purple-haired, emo teen, Lily, are helping millions around the world learn languages, from Korean to Italian, and even High Valyrian, the language of Game Of Thrones.",2,cna_world
Commentary: Don’t get distracted by Trump’s outlandish Cabinet picks,"Donald Trump is assembling an America First Cabinet for his second presidency. Watch the appointments of the next level of officials, says US politics expert Steven Okun.",1,cna_world
UAE arrests three suspects in killing of Israeli rabbi,,3,cna_world
"Iran to hold nuclear talks with France, Germany, and UK",,2,cna_world
"Israel, Hezbollah in heavy exchanges of fire despite EU ceasefire call",,3,cna_world
Key Trump pick calls for end to escalation in Ukraine,,1,cna_world
"Girl, 8, seriously injured in London shooting",A girl is in a stable condition in hospital along with a 34-year-old man whose condition is unknown.,2,bbc
"Tractor drives through flooded town, causing waves to hit shop windows","A tractor driver comes under fire for travelling through deep floods in the centre of Tenbury Wells, in Worcestershire.",1,bbc
"Barbara Taylor Bradford, one of Britain's most successful novelists, dies aged 91","Her books included A Woman of Substance, which sold 30 million copies and became a hit TV series.",2,bbc
"Intervene if women at spiking risk, says minister","Jess Phillips says people should ask women is ""everything alright"" if they appear unsafe during the Christmas party season.",1,bbc
Seventeen missing after Red Sea tourist boat sinks,Egyptian officials say 28 people from the vessel have been rescued after it sank near Marsa Alam.,3,bbc
‘I had no idea being a social drinker would damage my liver by 31’,BBC journalist Hazel Martin was told she had liver fibrosis and must go teetotal or she could die.,1,bbc
Malaysia government told to return seized LGBT watches,"A court ruled the government, which said the watches had ""LGBT elements"", did not have authority to seize them.",2,bbc
Angela Merkel defends ties with Russia and blocking Ukraine from Nato,"The former German chancellor, who quit politics three years ago, speaks to the BBC in a rare interview.",1,bbc
